smiles,pIC50
CC(C)n1nc(-c2cc(O)cc(F)c2)c2c(N)ncnc21,7.2839966563652006
CC(C)n1nc(-c2cc3c(Cl)cccc3[nH]2)c2c(N)ncnc21,6.552841968657781
CC(C)n1nc(-c2cc3cc(C=O)ccc3s2)c2c(N)ncnc21,4.301029995663981
CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21,6.823908740944319
CC(C)n1nc(-c2cc3ccccc3nc2Cl)c2c(N)ncnc21,5.698970004336019
CC(C)n1nc(-c2ccc(Br)c(O)c2)c2c(N)ncnc21,8.33889035263304
CC(C)n1nc(-c2ccc(C#N)c(F)c2)c2c(N)ncnc21,5.301029995663981
CC(C)n1nc(-c2ccc(C#N)c(O)c2)c2c(N)ncnc21,5.958607314841775
CC(C)n1nc(-c2ccc(C#N)nc2)c2c(N)ncnc21,4.301029995663981
CC(C)n1nc(-c2ccc(C(N)=O)c(Cl)c2)c2c(N)ncnc21,4.301029995663981
CC(C)n1nc(-c2ccc(C=O)c(F)c2)c2c(N)ncnc21,6.162411561764489
CC(C)n1nc(-c2ccc(CC#N)cc2)c2c(N)ncnc21,5.102372908709558
CC(C)n1nc(-c2ccc(Cl)c(O)c2)c2c(N)ncnc21,8.259637310505756
CC(C)n1nc(-c2ccc(F)c(C#N)c2)c2c(N)ncnc21,5.468521082957745
CC(C)n1nc(-c2ccc(F)c(O)c2)c2c(N)ncnc21,7.853871964321762
CC(C)n1nc(-c2ccc(N)c(O)c2)c2c(N)ncnc21,6.681936665037238
CC(C)n1nc(-c2ccc(NS(C)(=O)=O)cc2)c2c(N)ncnc21,4.958607314841775
CC(C)n1nc(-c2ccc(O)c(F)c2)c2c(N)ncnc21,6.1778319206319825
CC(C)n1nc(-c2ccc(O)cc2)c2c(N)ncnc21,5.769551078621726
CC(C)n1nc(-c2ccc(S(N)(=O)=O)cc2)c2c(N)ncnc21,4.236572006437063
CC(C)n1nc(-c2ccc3[nH]c(=O)[nH]c3c2)c2c(N)ncnc21,5.075720713938118
CC(C)n1nc(-c2ccc3[nH]c(=O)ccc3c2)c2c(N)ncnc21,4.455931955649724
CC(C)n1nc(-c2ccc3[nH]ccc3c2)c2c(N)ncnc21,6.530177984021837
CC(C)n1nc(-c2ccc3[nH]ncc3c2)c2c(N)ncnc21,6.302770657240282
CC(C)n1nc(-c2ccc3c(C=O)c[nH]c3c2)c2c(N)ncnc21,4.920818753952375
CC(C)n1nc(-c2ccc3c(N)n[nH]c3c2)c2c(N)ncnc21,6.485452247339714
CC(C)n1nc(-c2ccc3c(c2)CCO3)c2c(N)ncnc21,5.2839966563652006
CC(C)n1nc(-c2ccc3c(c2)OCCO3)c2c(N)ncnc21,5.886056647693163
CC(C)n1nc(-c2ccc3c(ccn3C(=O)OC(C)(C)C)c2)c2c(N)ncnc21,6.278189384787454
CC(C)n1nc(-c2ccc3c(ccn3C)c2)c2c(N)ncnc21,6.161150909262744
CC(C)n1nc(-c2ccc3cc(O)ccc3c2)c2c(N)ncnc21,7.2441251443275085
CC(C)n1nc(-c2ccc3cc[nH]c3c2)c2c(N)ncnc21,6.698970004336019
CC(C)n1nc(-c2ccc3ccccc3c2)c2c(N)ncnc21,7.161150909262744
CC(C)n1nc(-c2ccc3ccncc3c2)c2c(N)ncnc21,5.6777807052660805
CC(C)n1nc(-c2ccc3cn[nH]c3c2)c2c(N)ncnc21,6.958607314841775
CC(C)n1nc(-c2ccc3cnccc3c2)c2c(N)ncnc21,4.920818753952375
CC(C)n1nc(-c2ccc3nc(Cl)ccc3c2)c2c(N)ncnc21,5.42021640338319
CC(C)n1nc(-c2ccc3nc(N)ccc3c2)c2c(N)ncnc21,5.698970004336019
CC(C)n1nc(-c2ccc3nc(NN)ccc3c2)c2c(N)ncnc21,5.522878745280337
CC(C)n1nc(-c2ccc3nc[nH]c(=O)c3c2)c2c(N)ncnc21,6.484126156288321
CC(C)n1nc(-c2ccc3nccc(N)c3c2)c2c(N)ncnc21,5.1938200260161125
CC(C)n1nc(-c2ccc3nccc(NC(=O)OC(C)(C)C)c3c2)c2c(N)ncnc21,4.187086643357144
CC(C)n1nc(-c2ccc3ncccc3c2)c2c(N)ncnc21,7.1153113369619305
CC(C)n1nc(-c2ccc3nccnc3c2)c2c(N)ncnc21,5.657577319177793
CC(C)n1nc(-c2ccc3nonc3c2)c2c(N)ncnc21,4.886056647693163
CC(C)n1nc(-c2ccc3occc(=O)c3c2)c2c(N)ncnc21,5.657577319177793
CC(C)n1nc(-c2ccc3occc3c2)c2c(N)ncnc21,6.269217724333611
CC(C)n1nc(-c2cccc(C#N)c2)c2c(N)ncnc21,4.769551078621726
CC(C)n1nc(-c2cccc(C(=O)NC3=NCCS3)c2)c2c(N)ncnc21,5.494850021680094
CC(C)n1nc(-c2cccc(CC#N)c2)c2c(N)ncnc21,4.301029995663981
CC(C)n1nc(-c2cccc(CO)c2)c2c(N)ncnc21,5.7447274948966935
CC(C)n1nc(-c2cccc(NS(C)(=O)=O)c2)c2c(N)ncnc21,4.886056647693163
CC(C)n1nc(-c2cccc(O)c2)c2c(N)ncnc21,7.154901959985743
CC(C)n1nc(-c2cccc(O)c2F)c2c(N)ncnc21,7.1249387366083
CC(C)n1nc(-c2cccc(S(N)(=O)=O)c2)c2c(N)ncnc21,4.958607314841775
CC(C)n1nc(-c2cccc3[nH]ccc23)c2c(N)ncnc21,5.585026652029182
CC(C)n1nc(-c2cccnc2)c2c(N)ncnc21,4.494850021680094
CC(C)n1nc(-c2ccn3ccnc3c2)c2c(N)ncnc21,4.853871964321762
CC(C)n1nc(-c2cnc3[nH]ccc3c2)c2c(N)ncnc21,7.657577319177793
CC(C)n1nc(-c2cnc3ccccc3c2)c2c(N)ncnc21,5.8979400086720375
CC(C)n1nc(-c2cnc3nccnc3c2)c2c(N)ncnc21,5.698970004336019
CC(C)n1nc(-c2cncnc2)c2c(N)ncnc21,4.301029995663981
CC(Nc1cncc(-n2cnc3ccc(C#N)cc32)n1)c1ccccc1F,6.199998172182031
CC(O)Cn1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)Nc5cccc(F)c5)cc4)csc23)cn1,9.100015437450608
CC(Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,6.450008156126906
CC1(C)CC(NC(=O)c2cccc(-c3cc4nccc(Nc5cccc(O)c5)n4n3)c2)CC(C)(C)N1[O],8.301029995663981
CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21,5.4089353929735005
CC1(C)c2cc(C3CCN(C4COC4)CC3)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,6.431798275933005
CC1=CN2CC(=O)NN=C2C=C1,4.0
CC1CCC(n2nc(-c3ccc(F)c(O)c3)c3c(N)ncnc32)C1,8.193820026016112
